index	question	sentence	label
0	CC(=O)c1ccc(-c2cccc3ccccc23)c2c1[nH]c1ccccc12	CC(=O)Oc1ccc(-c2cccc3ccccc23)c2c1[nH]c1ccccc12	entailment
1	CC(=O)c1ccc(-c2cccc3ccccc23)c2c1[nH]c1ccccc12	COC(=O)c1ccc(-c2cccc3ccccc23)c2c1[nH]c1ccccc12	not_entailment
2	CC(=O)c1ccc(O[C@H](CCCl)c2ccccc2)c(C)c1	CC(=O)Oc1ccc(O[C@H](CCCl)c2ccccc2)c(C)c1	entailment
3	CC(=O)c1ccc(O[C@H](CCCl)c2ccccc2)c(C)c1	COC(=O)c1ccc(O[C@H](CCCl)c2ccccc2)c(C)c1	not_entailment
4	O=C1C[C@]2(Cc3ccccc3)[C@@H](O)C[C@H](c3ccccc3)[C@]12Cc1ccccc1	O=C1C[C@]2(Cc3ccccc3)[C@@H](O)C[C@H](c3ccccc3)[C@]2(Cc2ccccc2)O1	entailment
5	O=C1C[C@]2(Cc3ccccc3)[C@@H](O)C[C@H](c3ccccc3)[C@]12Cc1ccccc1	O=C1OC[C@]2(Cc3ccccc3)[C@@H](O)C[C@H](c3ccccc3)[C@]12Cc1ccccc1	not_entailment
6	COc1ccc(C2CC(=O)c3c(OC)cc(OC)cc3O2)cc1	COc1ccc(C2CC(=O)Oc3c(OC)cc(OC)cc3O2)cc1	entailment
7	COc1ccc(C2CC(=O)c3c(OC)cc(OC)cc3O2)cc1	COc1ccc(C2COC(=O)c3c(OC)cc(OC)cc3O2)cc1	not_entailment
8	CCCC[C@H](C)CCC(=O)C(C)C	CCCC[C@H](C)CCC(=O)OC(C)C	entailment
9	CCCC[C@H](C)CCC(=O)C(C)C	CCCC[C@H](C)CCOC(=O)C(C)C	not_entailment
10	CCCCC[C@H]1[C@H](C)C(=O)C[C@H]2C[C@@]12[N+](=O)[O-]	CCCCC[C@H]1[C@H](C)C(=O)OC[C@H]2C[C@]21[N+](=O)[O-]	not_entailment
11	CCCCC[C@H]1[C@H](C)C(=O)C[C@H]2C[C@@]12[N+](=O)[O-]	CCCCC[C@H]1[C@H](C)OC(=O)C[C@H]2C[C@]21[N+](=O)[O-]	entailment
12	CC1(C)CC[C@@]23CC[C@]4(C)[C@](OC2=O)([C@@H](O)C[C@@H]2[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]24C)[C@@H]3C1	CC1(C)CC[C@@]23CC[C@]4(C)[C@](OC2=O)([C@@H](O)C[C@@H]2[C@@]5(C)CCC(=O)OC(C)(C)[C@@H]5CC[C@]24C)[C@@H]3C1	entailment
13	CC1(C)CC[C@@]23CC[C@]4(C)[C@](OC2=O)([C@@H](O)C[C@@H]2[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]24C)[C@@H]3C1	CC1(C)CC[C@@]23CC[C@]4(C)[C@](OC2=O)([C@@H](O)C[C@@H]2[C@@]5(C)CCOC(=O)C(C)(C)[C@@H]5CC[C@]24C)[C@@H]3C1	not_entailment
14	O=C(c1ccccc1)[C@H]1O[C@@H]1c1ccc2ccccc2c1	O=C(O[C@H]1O[C@@H]1c1ccc2ccccc2c1)c1ccccc1	not_entailment
15	O=C(c1ccccc1)[C@H]1O[C@@H]1c1ccc2ccccc2c1	O=C(Oc1ccccc1)[C@H]1O[C@@H]1c1ccc2ccccc2c1	entailment
16	COc1ccc2c(c1)CC[C@]13CC(=O)[C@@]1(C)CCC[C@@H]23	COc1ccc2c(c1)CC[C@]13CC(=O)O[C@@]1(C)CCC[C@@H]23	entailment
17	COc1ccc2c(c1)CC[C@]13CC(=O)[C@@]1(C)CCC[C@@H]23	COc1ccc2c(c1)CC[C@]13COC(=O)[C@@]1(C)CCC[C@@H]23	not_entailment
18	COc1cccc2c1C(=O)C2C	COc1cccc2c1C(=O)OC2C	entailment
19	COc1cccc2c1C(=O)C2C	COc1cccc2c1OC(=O)C2C	not_entailment
20	CC(=O)O[C@H]1C[C@@]2(C)[C@H](C[C@H]1OC(C)=O)C(=O)C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C	CC(=O)O[C@H]1C[C@@]2(C)[C@H](C[C@H]1OC(C)=O)C(=O)OC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C	entailment
21	CC(=O)O[C@H]1C[C@@]2(C)[C@H](C[C@H]1OC(C)=O)C(=O)C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C	CC(=O)O[C@H]1C[C@@]2(C)[C@H](C[C@H]1OC(C)=O)OC(=O)C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C	not_entailment
22	C[Si](C)(C)OC(c1ccccc1)C1(O[Si](C)(C)C)CCC1=O	C[Si](C)(C)OC(c1ccccc1)C1(O[Si](C)(C)C)CCOC1=O	not_entailment
23	C[Si](C)(C)OC(c1ccccc1)C1(O[Si](C)(C)C)CCC1=O	C[Si](C)(C)OC(c1ccccc1)C1(O[Si](C)(C)C)CCC(=O)O1	entailment
24	C[C@@]1(Cl)C(=O)[C@H]2CC=C[C@H]21	C[C@@]1(Cl)C(=O)O[C@H]2CC=C[C@H]21	entailment
25	C[C@@]1(Cl)C(=O)[C@H]2CC=C[C@H]21	C[C@@]1(Cl)OC(=O)[C@H]2CC=C[C@H]21	not_entailment
26	O=C1c2ccccc2C[C@@]12Cc1ccccc1O2	O=C1O[C@]2(Cc3ccccc3O2)Cc2ccccc21	entailment
27	O=C1c2ccccc2C[C@@]12Cc1ccccc1O2	O=C1Oc2ccccc2C[C@@]12Cc1ccccc1O2	not_entailment
28	COc1ccc(C(=O)C(F)(F)C(O)c2ccccc2)cc1	COc1ccc(C(=O)OC(F)(F)C(O)c2ccccc2)cc1	not_entailment
29	COc1ccc(C(=O)C(F)(F)C(O)c2ccccc2)cc1	COc1ccc(OC(=O)C(F)(F)C(O)c2ccccc2)cc1	entailment
30	O=C1CC[C@@]12c1ccccc1CC[C@H]2F	O=C1CC[C@]2(O1)c1ccccc1CC[C@H]2F	entailment
31	O=C1CC[C@@]12c1ccccc1CC[C@H]2F	O=C1OCC[C@@]12c1ccccc1CC[C@H]2F	not_entailment
32	C[C@H]([C@@H]1CCCCC1=O)P(=O)(c1ccccc1)c1ccccc1	C[C@H]([C@@H]1CCCCOC1=O)P(=O)(c1ccccc1)c1ccccc1	not_entailment
33	C[C@H]([C@@H]1CCCCC1=O)P(=O)(c1ccccc1)c1ccccc1	C[C@H]([C@@H]1CCCCC(=O)O1)P(=O)(c1ccccc1)c1ccccc1	entailment
34	CC1(C)OC[C@H]([C@H]2CCC2=O)O1	CC1(C)OC[C@H]([C@H]2CCOC2=O)O1	not_entailment
35	CC1(C)OC[C@H]([C@H]2CCC2=O)O1	CC1(C)OC[C@H]([C@H]2CCC(=O)O2)O1	entailment
36	O=C1Cc2ccccc21	O=C1Cc2ccccc2O1	entailment
37	O=C1Cc2ccccc21	O=C1OCc2ccccc21	not_entailment
38	COC1CCCCCCC1=O	COC1CCCCCCOC1=O	not_entailment
39	COC1CCCCCCC1=O	COC1CCCCCCC(=O)O1	entailment
